"","id","face","type","roi","beta"
"333","021","F2","diagdiff","undiagdiff_insula_l",-0.0243178
"334","021","F2","diagdiff","undiagdiff_insula_r",-0.0217433
"335","021","F2","diagdiff","undiagdiff_IPL_l",-0.119248
"336","021","F2","diagdiff","undiagdiff_precuneus",-0.128254
"337","022","F1","diag","chdiag_PCG_l",0.00161433
"338","022","F1","diag","chdiagdiff_HC_l",-0.062039
"339","022","F1","diag","F2diagdiff_insula_l",-0.013962
"340","022","F1","diag","undiagdiff_IFG_l",0.0267966
"341","022","F1","diag","undiagdiff_insula_l",-0.0122844
"342","022","F1","diag","undiagdiff_insula_r",0.00754916
"343","022","F1","diag","undiagdiff_IPL_l",-0.00212233
"344","022","F1","diag","undiagdiff_precuneus",0.0390635
"345","022","F2","diag","chdiag_PCG_l",-0.247272
"346","022","F2","diag","chdiagdiff_HC_l",-0.1678
"347","022","F2","diag","F2diagdiff_insula_l",-0.215885
"348","022","F2","diag","undiagdiff_IFG_l",-0.245974
"349","022","F2","diag","undiagdiff_insula_l",-0.212479
"350","022","F2","diag","undiagdiff_insula_r",-0.321831
"351","022","F2","diag","undiagdiff_IPL_l",-0.309121
"352","022","F2","diag","undiagdiff_precuneus",-0.271174
"353","022","F2","diagdiff","chdiag_PCG_l",0.136282
"354","022","F2","diagdiff","chdiagdiff_HC_l",0.122154
"355","022","F2","diagdiff","F2diagdiff_insula_l",-0.0570328
"356","022","F2","diagdiff","undiagdiff_IFG_l",0.116237
"357","022","F2","diagdiff","undiagdiff_insula_l",-0.0300346
"358","022","F2","diagdiff","undiagdiff_insula_r",0.321201
"359","022","F2","diagdiff","undiagdiff_IPL_l",0.181491
"360","022","F2","diagdiff","undiagdiff_precuneus",0.220757
"361","023","F1","diag","chdiag_PCG_l",-0.0498224
"362","023","F1","diag","chdiagdiff_HC_l",-0.013135
"363","023","F1","diag","F2diagdiff_insula_l",0.0123277
"364","023","F1","diag","undiagdiff_IFG_l",-0.0185179
"365","023","F1","diag","undiagdiff_insula_l",-0.00362259
"366","023","F1","diag","undiagdiff_insula_r",0.0484301
"367","023","F1","diag","undiagdiff_IPL_l",-0.030032
"368","023","F1","diag","undiagdiff_precuneus",0.0920017
"369","023","F2","diag","chdiag_PCG_l",0.0354285
"370","023","F2","diag","chdiagdiff_HC_l",-0.0616381
"371","023","F2","diag","F2diagdiff_insula_l",-0.033532
"372","023","F2","diag","undiagdiff_IFG_l",-0.0500715
"373","023","F2","diag","undiagdiff_insula_l",-0.0287163
"374","023","F2","diag","undiagdiff_insula_r",-0.0502255
"375","023","F2","diag","undiagdiff_IPL_l",-0.088835
"376","023","F2","diag","undiagdiff_precuneus",-0.105652
"377","023","F2","diagdiff","chdiag_PCG_l",0.0176821
"378","023","F2","diagdiff","chdiagdiff_HC_l",-0.0461872
"379","023","F2","diagdiff","F2diagdiff_insula_l",-0.140084
"380","023","F2","diagdiff","undiagdiff_IFG_l",-0.109724
"381","023","F2","diagdiff","undiagdiff_insula_l",-0.147387
"382","023","F2","diagdiff","undiagdiff_insula_r",-0.154836
"383","023","F2","diagdiff","undiagdiff_IPL_l",-0.149979
"384","023","F2","diagdiff","undiagdiff_precuneus",-0.00439449
"385","024","F1","diag","chdiag_PCG_l",0.0736337
"386","024","F1","diag","chdiagdiff_HC_l",-0.0288812
"387","024","F1","diag","F2diagdiff_insula_l",-0.0309337
"388","024","F1","diag","undiagdiff_IFG_l",-0.0362695
"389","024","F1","diag","undiagdiff_insula_l",0.00275319
"390","024","F1","diag","undiagdiff_insula_r",-0.0459927
"391","024","F1","diag","undiagdiff_IPL_l",-0.0107777
"392","024","F1","diag","undiagdiff_precuneus",-0.0773082
"393","024","F2","diag","chdiag_PCG_l",0.197351
"394","024","F2","diag","chdiagdiff_HC_l",0.0365856
"395","024","F2","diag","F2diagdiff_insula_l",0.0591731
"396","024","F2","diag","undiagdiff_IFG_l",0.0693905
"397","024","F2","diag","undiagdiff_insula_l",0.0895345
"398","024","F2","diag","undiagdiff_insula_r",0.0272658
"399","024","F2","diag","undiagdiff_IPL_l",0.0679893
"400","024","F2","diag","undiagdiff_precuneus",0.0028294
"401","024","F2","diagdiff","chdiag_PCG_l",-0.063185
"402","024","F2","diagdiff","chdiagdiff_HC_l",-0.0807719
