,id,face,type,roi,beta
913,17,F2,rel,chrel_putamen_l,-0.0210789
927,18,F1,irrel,chrel_putamen_l,4.68E-05
941,18,F1,rel,chrel_putamen_l,-0.00794238
955,18,F2,D,chrel_putamen_l,-0.113406
969,18,F2,I,chrel_putamen_l,0.0831478
983,18,F2,irrel,chrel_putamen_l,0.00768827
997,18,F2,rel,chrel_putamen_l,-0.0277577
1011,19,F1,irrel,chrel_putamen_l,0.0357438
1025,19,F1,rel,chrel_putamen_l,-0.131175
1039,19,F2,D,chrel_putamen_l,0.15966
1053,19,F2,I,chrel_putamen_l,-0.0235682
1067,19,F2,irrel,chrel_putamen_l,0.0387136
1081,19,F2,rel,chrel_putamen_l,0.0112043
1095,21,F1,irrel,chrel_putamen_l,-0.0252759
1109,21,F1,rel,chrel_putamen_l,0.0663161
1123,21,F2,D,chrel_putamen_l,-0.0341517
1137,21,F2,I,chrel_putamen_l,-0.0132624
1151,21,F2,irrel,chrel_putamen_l,-0.0153603
1165,21,F2,rel,chrel_putamen_l,-0.032552
1179,22,F1,irrel,chrel_putamen_l,0.012009
1193,22,F1,rel,chrel_putamen_l,-0.00720017
1207,22,F2,D,chrel_putamen_l,0.104664
1221,22,F2,I,chrel_putamen_l,0.0532145
1235,22,F2,irrel,chrel_putamen_l,0.013855
1249,22,F2,rel,chrel_putamen_l,0.0379785
1263,23,F1,irrel,chrel_putamen_l,-0.010686
1277,23,F1,rel,chrel_putamen_l,-0.0146852
1291,23,F2,D,chrel_putamen_l,-0.0473024
1305,23,F2,I,chrel_putamen_l,0.04199
1319,23,F2,irrel,chrel_putamen_l,0.00330283
1333,23,F2,rel,chrel_putamen_l,0.00601971
1347,24,F1,irrel,chrel_putamen_l,-0.000747648
1361,24,F1,rel,chrel_putamen_l,0.0613418
1375,24,F2,D,chrel_putamen_l,0.0513492
1389,24,F2,I,chrel_putamen_l,0.0710982
1403,24,F2,irrel,chrel_putamen_l,-0.0333737
1417,24,F2,rel,chrel_putamen_l,-0.03234
1431,25,F1,irrel,chrel_putamen_l,0.0215443
1445,25,F1,rel,chrel_putamen_l,-0.0147082
1459,25,F2,D,chrel_putamen_l,-0.0225437
1473,25,F2,I,chrel_putamen_l,0.0168656
1487,25,F2,irrel,chrel_putamen_l,0.000843667
1501,25,F2,rel,chrel_putamen_l,0.0133757
1515,26,F1,irrel,chrel_putamen_l,-0.0171664
1529,26,F1,rel,chrel_putamen_l,-0.0728359
1543,26,F2,D,chrel_putamen_l,0.17867
1557,26,F2,I,chrel_putamen_l,0.0191109
1571,26,F2,irrel,chrel_putamen_l,-0.0250111
1585,26,F2,rel,chrel_putamen_l,0.0101939
1599,27,F1,irrel,chrel_putamen_l,0.0582169
1613,27,F1,rel,chrel_putamen_l,-0.025757
1627,27,F2,D,chrel_putamen_l,0.0636377
1641,27,F2,I,chrel_putamen_l,0.126128
1655,27,F2,irrel,chrel_putamen_l,-0.0545904
1669,27,F2,rel,chrel_putamen_l,-0.0184425
1683,28,F1,irrel,chrel_putamen_l,0.00814875
1697,28,F1,rel,chrel_putamen_l,-0.0467081
1711,28,F2,D,chrel_putamen_l,-0.0840869
1725,28,F2,I,chrel_putamen_l,0.0021119
1739,28,F2,irrel,chrel_putamen_l,-0.0761725
1753,28,F2,rel,chrel_putamen_l,0.0345767
1767,29,F1,irrel,chrel_putamen_l,-0.00731874
1781,29,F1,rel,chrel_putamen_l,-0.0421407
1795,29,F2,D,chrel_putamen_l,-0.0432613
1809,29,F2,I,chrel_putamen_l,0.0245831
1823,29,F2,irrel,chrel_putamen_l,0.00584237
1837,29,F2,rel,chrel_putamen_l,0.0105595
1851,30,F1,irrel,chrel_putamen_l,-0.0167372
1865,30,F1,rel,chrel_putamen_l,-0.0251355
1879,30,F2,D,chrel_putamen_l,0.00956508
1893,30,F2,I,chrel_putamen_l,0.0263824
1907,30,F2,irrel,chrel_putamen_l,-0.0472372
1921,30,F2,rel,chrel_putamen_l,-0.00200366
1935,31,F1,irrel,chrel_putamen_l,-0.0737464
1949,31,F1,rel,chrel_putamen_l,0.0254571
1963,31,F2,D,chrel_putamen_l,0.0714477
1977,31,F2,I,chrel_putamen_l,0.0186953
1991,31,F2,irrel,chrel_putamen_l,0.0119103
2005,31,F2,rel,chrel_putamen_l,0.0245815
4,1,F1,irrel,D_IFG_l,0.0411369
18,1,F1,rel,D_IFG_l,0.0811911
32,1,F2,D,D_IFG_l,-0.0788689
46,1,F2,I,D_IFG_l,-0.023471
60,1,F2,irrel,D_IFG_l,0.040424
74,1,F2,rel,D_IFG_l,0.0191664
