family,region,neural_condition,behavior_task,behavior_definition,behavior_variable,n,r,p_parametric,p_permutation,p_fwe_max,survives_fwe_05
representational_warping,Insular,congruent,wCue,adjusted,wCue_adjusted_congruent,24,0.04301658677,0.8418095591,0.8404515955,1,False
representational_warping,MFGr,attention,wCue,raw,wCue_raw_attention,24,-0.04078274306,0.8499310894,0.8487615124,1,False
representational_warping,precuneus,attention,rbCue,adjusted,rbCue_adjusted_attention,24,-0.03902517811,0.8563314926,0.8576314237,1,False
representational_warping,ECl,attention,rbCue,raw,rbCue_raw_attention,24,-0.03845004701,0.8584278375,0.8591514085,1,False
representational_warping,EC_bilateral,attention,rbCue,adjusted,rbCue_adjusted_attention,24,0.03718388686,0.8630462276,0.8630613694,1,False
representational_warping,IPLr,attention,rbCue,adjusted,rbCue_adjusted_attention,24,-0.03631031473,0.8662351796,0.8633913661,1,False
representational_warping,precuneus_bilateral,attention,rbCue,raw,rbCue_raw_attention,24,-0.03531670739,0.8698647774,0.8691513085,1,False
representational_warping,precuneusr,attention,rbCue,adjusted,rbCue_adjusted_attention,24,0.03069733063,0.8867715098,0.887301127,1,False
representational_warping,Insula_bilateral,attention,rbCue,adjusted,rbCue_adjusted_attention,24,0.0276557596,0.8979302201,0.8997610024,1,False
representational_warping,MFG_bilateral,attention,wCue,raw,wCue_raw_attention,24,0.0268014045,0.9010680908,0.9011609884,1,False
representational_warping,Amyr,attention,wCue,raw,wCue_raw_attention,24,-0.0266131022,0.9017598815,0.9027809722,1,False
representational_warping,IPLl,attention,rbCue,raw,rbCue_raw_attention,24,0.02608748912,0.9036912604,0.9035909641,1,False
representational_warping,Insula_bilateral,congruent,wCue,raw,wCue_raw_congruent,24,-0.0196216929,0.9274901063,0.9240507595,1,False
representational_warping,ECr,attention,rbCue,adjusted,rbCue_adjusted_attention,24,-0.01925647495,0.9288363652,0.927700723,1,False
representational_warping,Insulal,congruent,rbCue,raw,rbCue_raw_congruent,24,0.01956412427,0.9277023019,0.9279607204,1,False
representational_warping,HC_bilateral,attention,rbCue,adjusted,rbCue_adjusted_attention,24,0.01908434569,0.9294709305,0.9296907031,1,False
representational_warping,Insular,congruent,rbCue,raw,rbCue_raw_congruent,24,-0.01754632785,0.9351427364,0.9365406346,1,False
representational_warping,MFGr,congruent,wCue,raw,wCue_raw_congruent,24,-0.0163558461,0.9395350373,0.9393406066,1,False
representational_warping,IPL_bilateral,attention,wCue,adjusted,wCue_adjusted_attention,24,-0.01453978155,0.9462386902,0.9459505405,1,False
