family,task,region,neural_condition,behavior_variable,behavior_definition,n,r,p_parametric,p_permutation,p_fwe_global,survives_global_fwe_05
time_resolved_roi_coding,rbCue,unrel_IFG_l,F2_I,rel,choice_effect_legacy_gaussian_glm,24,0.05538938084,0.7971303086,0.7976820232,1,False
time_resolved_roi_coding,rbCue,unrel_MFG_l,F2_I,rel,choice_effect_legacy_gaussian_glm,24,0.05538938084,0.7971303086,0.7976820232,1,False
time_resolved_roi_coding,rbCue,chirrel_MFG_r,F2_I,irrel,choice_effect_legacy_gaussian_glm,24,-0.05507744154,0.7982497944,0.7976920231,1,False
time_resolved_roi_coding,rbCue,unrel_IPL_l,F2_irrel,irrel,choice_effect_legacy_gaussian_glm,24,-0.05575759371,0.795809368,0.7983120169,1,False
time_resolved_roi_coding,rbCue,D_insular,F2_irrel,rel,choice_effect_legacy_gaussian_glm,24,-0.05323253239,0.8048786142,0.8028419716,1,False
time_resolved_roi_coding,wCue,undiagdiff_precuneus,F1_diag,diag,choice_effect_legacy_gaussian_glm,24,-0.05393459598,0.8023545126,0.8037319627,1,False
time_resolved_roi_coding,rbCue,chirrel_precuences,F1_irrel,rel,choice_effect_legacy_gaussian_glm,24,0.05363548531,0.8034296605,0.8045419546,1,False
time_resolved_roi_coding,rbCue,D_insular,F2_I,rel,choice_effect_legacy_gaussian_glm,24,0.0515311339,0.8110033897,0.8134418656,1,False
time_resolved_roi_coding,rbCue,D_IFG_l,F2_I,irrel,choice_effect_legacy_gaussian_glm,24,0.05111125944,0.8125165451,0.81400186,1,False
time_resolved_roi_coding,wCue,undiagdiff_IPL_l,F1_diag,diag,choice_effect_legacy_gaussian_glm,24,-0.04510084319,0.8342459518,0.8323916761,1,False
time_resolved_roi_coding,rbCue,chirrel_precuences,F2_I,irrel,choice_effect_legacy_gaussian_glm,24,-0.04482528899,0.8352451141,0.8355416446,1,False
time_resolved_roi_coding,wCue,chdiagdiff_HC_l,F1_diag,diag,choice_effect_legacy_gaussian_glm,24,0.04393650806,0.8384695207,0.8380616194,1,False
time_resolved_roi_coding,rbCue,D_precentral_l,F2_irrel,irrel,choice_effect_legacy_gaussian_glm,24,-0.04368962592,0.839365634,0.8410715893,1,False
time_resolved_roi_coding,rbCue,D_IPL_l,F1_irrel,irrel,choice_effect_legacy_gaussian_glm,24,-0.04248682148,0.8437342298,0.8432415676,1,False
time_resolved_roi_coding,rbCue,unrel_IPL_l,F2_rel,rel,choice_effect_legacy_gaussian_glm,24,-0.03789679528,0.860445309,0.8599414006,1,False
