"","id","roi","model","TR","var","LL"
"479",31,"mPFC","I",1112,0.189154675558891,-652.013892486155
"481",1,"Amy_L","diag",1099,0.098730318,-287.121366043008
"482",1,"Amy_R","diag",1099,0.156670614,-540.854930195317
"483",1,"EC_L","diag",1099,1.900858822,-1912.36048268781
"484",1,"EC_R","diag",1099,0.750134146,-1401.43042469377
"485",1,"Hippo_L","diag",1099,0.082248102,-186.754224399817
"486",1,"Hippo_R","diag",1099,0.069084837,-90.9186536571465
"489",1,"mPFC","diag",1099,0.098212945,-284.234269392241
"490",2,"Amy_L","diag",1099,0.293603904,-885.988182904498
"491",2,"Amy_R","diag",1099,0.199017699,-672.321793568463
"492",2,"EC_L","diag",1099,1.437275019,-1758.74400861087
"493",2,"EC_R","diag",1099,1.209346272,-1663.86237641506
"494",2,"Hippo_L","diag",1099,0.122411814,-405.26321351433
"495",2,"Hippo_R","diag",1099,0.062544754,-36.2692814789736
"498",2,"mPFC","diag",1099,0.194117908,-658.623850519363
"499",3,"Amy_L","diag",1099,0.385111237,-1035.06787698732
"500",3,"Amy_R","diag",1099,0.212592683,-708.58015988075
"501",3,"EC_L","diag",1099,4.101871198,-2335.00151900599
"502",3,"EC_R","diag",1099,3.627766459,-2267.50857650566
"503",3,"Hippo_L","diag",1099,0.129945624,-438.082211464908
"504",3,"Hippo_R","diag",1099,0.123110521,-408.390754093954
"507",3,"mPFC","diag",1099,0.492381219,-1170.09158407085
"508",4,"Amy_L","diag",1099,0.87993687,-1489.12958855252
"509",4,"Amy_R","diag",1099,0.637246642,-1311.80956935307
"510",4,"EC_L","diag",1099,4.116341489,-2336.93659501936
"511",4,"EC_R","diag",1099,5.214001074,-2466.82891105354
"512",4,"Hippo_L","diag",1099,0.244445918,-785.299174741774
"513",4,"Hippo_R","diag",1099,0.315420373,-925.373415692876
"516",4,"mPFC","diag",1099,0.514597043,-1194.34151460571
"517",6,"Amy_L","diag",1099,0.086151524,-212.233077455911
"518",6,"Amy_R","diag",1099,0.0954071,-268.306995232438
"519",6,"EC_L","diag",1099,0.776013229,-1420.06809965247
"520",6,"EC_R","diag",1099,1.595700903,-1816.20198398473
"521",6,"Hippo_L","diag",1099,0.069019592,-90.3994504653748
"522",6,"Hippo_R","diag",1099,0.067884104,-81.2840652373501
"525",6,"mPFC","diag",1099,0.117095107,-380.862995661026
"526",7,"Amy_L","diag",1112,0.413832782,-1087.30457692457
"527",7,"Amy_R","diag",1112,0.472516038,-1161.03557301301
"528",7,"EC_L","diag",1112,1.806915903,-1906.80118677666
"529",7,"EC_R","diag",1112,2.999223382,-2188.544129587
"530",7,"Hippo_L","diag",1112,0.119057166,-394.607406770041
"531",7,"Hippo_R","diag",1112,0.168089061,-586.366357758301
"534",7,"mPFC","diag",1112,0.251155181,-809.643189303228
"535",9,"Amy_L","diag",1112,0.84158418,-1481.96675442824
"536",9,"Amy_R","diag",1112,0.297538261,-903.869524576078
"537",9,"EC_L","diag",1112,4.42346498,-2404.58901545631
"538",9,"EC_R","diag",1112,3.906504058,-2335.48908533061
"539",9,"Hippo_L","diag",1112,0.312520729,-931.18467848528
"540",9,"Hippo_R","diag",1112,0.16295011,-569.102622476922
"543",9,"mPFC","diag",1112,0.673356332,-1357.97242342371
"544",10,"Amy_L","diag",1112,0.983702018,-1568.72331512854
"545",10,"Amy_R","diag",1112,1.248273451,-1701.15896359577
"546",10,"EC_L","diag",1112,5.176616024,-2492.00791938206
"547",10,"EC_R","diag",1112,9.614458217,-2836.23667347418
"548",10,"Hippo_L","diag",1112,0.460117731,-1146.25192470305
"549",10,"Hippo_R","diag",1112,0.697455418,-1377.52357252215
"552",10,"mPFC","diag",1112,1.089986598,-1625.76761174205
"553",11,"Amy_L","diag",1112,0.110590251,-353.590271743033
"554",11,"Amy_R","diag",1112,0.11910443,-394.828087054238
"555",11,"EC_L","diag",1112,1.117168984,-1639.46322152063
"556",11,"EC_R","diag",1112,0.768152759,-1431.20538559357
"557",11,"Hippo_L","diag",1112,0.102433446,-310.990297695303
"558",11,"Hippo_R","diag",1112,0.073537403,-126.721267400477
"561",11,"mPFC","diag",1112,0.227361309,-754.304188286615
"562",15,"Amy_L","diag",1112,0.153019137,-534.140737362725
"563",15,"Amy_R","diag",1112,0.098364278,-288.452520398358
"564",15,"EC_L","diag",1112,2.228111794,-2023.30154961502
"565",15,"EC_R","diag",1112,1.041978232,-1600.72295412358
"566",15,"Hippo_L","diag",1112,0.101468574,-305.728232745784
"567",15,"Hippo_R","diag",1112,0.099295163,-293.689567351184
"570",15,"mPFC","diag",1112,0.531670023,-1226.61652370679
"571",17,"Amy_L","diag",1112,0.307513219,-922.203763476432
"572",17,"Amy_R","diag",1112,0.270715659,-851.342100756518
"573",17,"EC_L","diag",1112,1.119824679,-1640.78335678798
"574",17,"EC_R","diag",1112,0.735001657,-1406.67696482896
"575",17,"Hippo_L","diag",1112,0.115726416,-378.830994856615
"576",17,"Hippo_R","diag",1112,0.097331797,-282.585619260865
"579",17,"mPFC","diag",1112,0.273331331,-856.68842143973
"580",18,"Amy_L","diag",1112,0.16262781,-568.001817738467
"581",18,"Amy_R","diag",1112,0.08805933,-226.92171407806
"582",18,"EC_L","diag",1112,0.273675836,-857.388758901031
"583",18,"EC_R","diag",1112,0.239952031,-784.27181589722
"584",18,"Hippo_L","diag",1112,0.073914355,-129.564038099439
"585",18,"Hippo_R","diag",1112,0.06816828,-84.5682346426123
"588",18,"mPFC","diag",1112,0.085458168,-210.250721948968
"589",19,"Amy_L","diag",1112,1.019615764,-1588.66042395075
"590",19,"Amy_R","diag",1112,0.428027635,-1106.05610906697
"591",19,"EC_L","diag",1112,3.797189343,-2319.70884636642
"592",19,"EC_R","diag",1112,0.935996391,-1541.08377491924
"593",19,"Hippo_L","diag",1112,0.734520638,-1406.31297365378
"594",19,"Hippo_R","diag",1112,0.291996293,-893.415769291641
"597",19,"mPFC","diag",1112,1.50956304,-1806.8316976185
"598",21,"Amy_L","diag",1112,0.109305736,-347.094487319821
"599",21,"Amy_R","diag",1112,0.143865541,-499.844504702354
