"","id","roi","model","TR","var","LL"
"256",2,"Hippo_R","D2",540,0.0408170229918512,97.4103267563707
"259",2,"mPFC","D2",540,0.169165463279017,-286.469755927604
"261",3,"Amy_L","D2",540,0.137783396389377,-231.067254988096
"262",3,"Amy_R","D2",540,0.13631688436482,-228.178078634343
"263",3,"EC_L","D2",540,0.947123316232767,-751.558794275841
"264",3,"EC_R","D2",540,2.13027713641876,-970.414870138659
"265",3,"Hippo_L","D2",540,0.0599144981762928,-6.22088179183841
"266",3,"Hippo_R","D2",540,0.0821587490012648,-91.4692841710506
"269",3,"mPFC","D2",540,0.151144757298378,-256.057152109708
"271",4,"Amy_L","D2",540,0.776448479127374,-697.910060976019
"272",4,"Amy_R","D2",540,0.644628620428558,-647.674962151158
"273",4,"EC_L","D2",540,1.85034798026875,-932.377712018591
"274",4,"EC_R","D2",540,1.85895841199529,-933.631219006718
"275",4,"Hippo_L","D2",540,0.239863825397799,-380.752152002381
"276",4,"Hippo_R","D2",540,0.342071275796889,-476.58804611541
"279",4,"mPFC","D2",540,0.0763435275782307,-71.6485614631868
"281",6,"Amy_L","D2",540,0.0826154709979788,-92.9660626709926
"282",6,"Amy_R","D2",540,0.1260891021692,-207.119863223595
"283",6,"EC_L","D2",540,0.854003261323858,-723.615336023998
"284",6,"EC_R","D2",540,1.0633671553524,-782.815725424867
"285",6,"Hippo_L","D2",540,0.114437973431535,-180.941781658901
"286",6,"Hippo_R","D2",540,0.110626974875265,-171.797150495454
"289",6,"mPFC","D2",540,0.20519570043231,-338.603205810254
"291",7,"Amy_L","D2",547,0.413077154387863,-534.352314529578
"292",7,"Amy_R","D2",547,0.500708401524116,-586.970845170007
"293",7,"EC_L","D2",547,3.63394174019166,-1129.06133369979
"294",7,"EC_R","D2",547,4.2918000215195,-1174.56853167034
"295",7,"Hippo_L","D2",547,0.116445083099711,-188.042616548373
"296",7,"Hippo_R","D2",547,0.153352426839884,-263.34234766861
"299",7,"mPFC","D2",547,0.339860191105312,-480.992448228965
"301",9,"Amy_L","D2",547,0.609085008404202,-640.558779424854
"302",9,"Amy_R","D2",547,0.243197033470055,-389.462287764762
"303",9,"EC_L","D2",547,3.66361206016079,-1131.28533298736
"304",9,"EC_R","D2",547,3.68452912897837,-1132.84241623505
"305",9,"Hippo_L","D2",547,0.32036160372899,-464.83298490982
"306",9,"Hippo_R","D2",547,0.175674269054303,-300.509034035505
"309",9,"mPFC","D2",547,0.76063760120875,-701.330256708092
"311",10,"Amy_L","D2",547,0.472221145945413,-570.950174239671
"312",10,"Amy_R","D2",547,0.748112331777607,-696.789093436953
"313",10,"EC_L","D2",547,2.80365497491602,-1058.11706818003
"314",10,"EC_R","D2",547,4.20321050144613,-1168.86398026173
"315",10,"Hippo_L","D2",547,0.234666697945254,-379.696764774496
"316",10,"Hippo_R","D2",547,0.558322252328655,-616.75838932322
"319",10,"mPFC","D2",547,1.10223722193519,-802.782401665831
"321",11,"Amy_L","D2",547,0.123292445129046,-203.670232563513
"322",11,"Amy_R","D2",547,0.114541161406479,-183.533825322868
"323",11,"EC_L","D2",547,1.72627790797649,-925.481514193297
"324",11,"EC_R","D2",547,0.978516253928603,-770.219537149988
"325",11,"Hippo_L","D2",547,0.114252674065396,-182.844109802884
"326",11,"Hippo_R","D2",547,0.0803760248369834,-86.6551165833122
"329",11,"mPFC","D2",547,0.790807032054264,-711.968573372262
"331",15,"Amy_L","D2",547,0.171951750481953,-294.651315162611
"332",15,"Amy_R","D2",547,0.0976019946137319,-139.763892668842
"333",15,"EC_L","D2",547,2.12826666029222,-982.736081179096
"334",15,"EC_R","D2",547,1.67262534488638,-916.846261061061
"335",15,"Hippo_L","D2",547,0.141854423100332,-242.026475980624
"336",15,"Hippo_R","D2",547,0.170077918836471,-291.654510332266
"339",15,"mPFC","D2",547,0.655084852300807,-660.471474206381
"341",17,"Amy_L","D2",547,0.527281362403014,-601.113640068132
"342",17,"Amy_R","D2",547,0.436019698810687,-549.135819075601
"343",17,"EC_L","D2",547,1.39630367150471,-867.46147526151
"344",17,"EC_R","D2",547,2.13419795579572,-983.497241922167
"345",17,"Hippo_L","D2",547,0.291985899726573,-439.467266528648
"346",17,"Hippo_R","D2",547,0.368415257413997,-503.05744047256
"349",17,"mPFC","D2",547,0.509772605500222,-591.877669277233
"351",18,"Amy_L","D2",547,0.15646400235424,-268.83621073094
"352",18,"Amy_R","D2",547,0.103654466272778,-156.21901964151
"353",18,"EC_L","D2",547,0.554470565446233,-614.865061917744
"354",18,"EC_R","D2",547,1.13599880271241,-811.033982509151
"355",18,"Hippo_L","D2",547,0.0956463776430839,-134.228223783707
"356",18,"Hippo_R","D2",547,0.0922290163345745,-124.277464429209
"359",18,"mPFC","D2",547,0.169960612859988,-291.465807095131
"361",19,"Amy_L","D2",547,0.644096255166417,-655.844785949058
"362",19,"Amy_R","D2",547,0.443031873079104,-553.49931810989
"363",19,"EC_L","D2",547,1.59282325772481,-903.475836297789
"364",19,"EC_R","D2",547,0.949670224883002,-762.035704645189
"365",19,"Hippo_L","D2",547,0.845059587836837,-730.116162477582
"366",19,"Hippo_R","D2",547,0.41282997438782,-534.188606699303
"369",19,"mPFC","D2",547,0.286951165534352,-434.710153537808
"371",21,"Amy_L","D2",547,0.915377672750472,-751.97690649076
"372",21,"Amy_R","D2",547,0.296151912202951,-443.34194843515
"373",21,"EC_L","D2",547,3.57231749359334,-1124.38355518686
"374",21,"EC_R","D2",547,2.16519690933794,-987.441220541534
"375",21,"Hippo_L","D2",547,0.584831404016343,-629.445315494019
"376",21,"Hippo_R","D2",547,0.250762485161337,-397.84075917639
"379",21,"mPFC","D2",547,1.29658174770604,-847.195909167615
"381",22,"Amy_L","D2",547,0.49173469004935,-582.024713750719
"382",22,"Amy_R","D2",547,0.258626506646072,-406.286095872559
"383",22,"EC_L","D2",547,2.92933913456186,-1070.11084511079
"384",22,"EC_R","D2",547,1.07762384597702,-796.605820480444
"385",22,"Hippo_L","D2",547,0.14797904849791,-253.587145185435
"386",22,"Hippo_R","D2",547,0.171563381332783,-294.032891124094
"389",22,"mPFC","D2",547,1.09731568185052,-801.558477060826
"391",23,"Amy_L","D2",547,0.185491743786157,-315.381645922146
"392",23,"Amy_R","D2",547,0.113944313210327,-182.104952409082
"393",23,"EC_L","D2",547,1.83356129629167,-941.971525753884
"394",23,"EC_R","D2",547,0.228331715605147,-372.211962437115
"395",23,"Hippo_L","D2",547,0.0478529688392381,55.1772716922846
"396",23,"Hippo_R","D2",547,0.055560118525526,14.3348355429326
"399",23,"mPFC","D2",547,0.172212724118894,-295.066095354357
"401",24,"Amy_L","D2",547,0.0862923339803582,-106.080407884321
"402",24,"Amy_R","D2",547,0.114001329117482,-182.241773194712
"403",24,"EC_L","D2",547,0.501615862308567,-587.466075309223
"404",24,"EC_R","D2",547,0.220324036902344,-362.447983196967
"405",24,"Hippo_L","D2",547,0.0671117841731633,-37.3276730320338
"406",24,"Hippo_R","D2",547,0.0488355756860535,49.6181389888441
"409",24,"mPFC","D2",547,0.0892314032465381,-115.240543103158
"411",25,"Amy_L","D2",547,0.255140428984929,-402.574463974975
"412",25,"Amy_R","D2",547,0.128155790184966,-214.251263441052
"413",25,"EC_L","D2",547,0.565355073383988,-620.181972999232
"414",25,"EC_R","D2",547,0.268089667840869,-416.114740765122
"415",25,"Hippo_L","D2",547,0.104299941237574,-157.916872280747
"416",25,"Hippo_R","D2",547,0.0888204669622355,-113.978087694154
"419",25,"mPFC","D2",547,0.0884767266342479,-112.917573474024
"421",26,"Amy_L","D2",547,0.145477338832712,-248.923868467472
"422",26,"Amy_R","D2",547,0.349555264918496,-488.68527692851
"423",26,"EC_L","D2",547,0.361301629582786,-497.724854969244
"424",26,"EC_R","D2",547,0.266668879702841,-414.6614251636
"425",26,"Hippo_L","D2",547,0.071292936376202,-53.8573576813145
"426",26,"Hippo_R","D2",547,0.0727027529479058,-59.2130340252793
"429",26,"mPFC","D2",547,0.114199380047208,-182.716503909425
"431",27,"Amy_L","D2",547,0.177838771867704,-303.858267862001
"432",27,"Amy_R","D2",547,0.523114608470066,-598.943766592084
"433",27,"EC_L","D2",547,2.74881397763365,-1052.71424624843
"434",27,"EC_R","D2",547,0.955835286816057,-763.805471577659
"435",27,"Hippo_L","D2",547,0.16963164013994,-290.935912397692
"436",27,"Hippo_R","D2",547,0.220855711643887,-363.10718440775
"439",27,"mPFC","D2",547,0.768946739551376,-704.301745929896
"441",28,"Amy_L","D2",547,0.115853221307124,-186.648938269414
"442",28,"Amy_R","D2",547,0.159881128448319,-274.74507574976
"443",28,"EC_L","D2",547,2.5778347911963,-1035.15015298603
"444",28,"EC_R","D2",547,0.423762564523155,-541.337208885748
"445",28,"Hippo_L","D2",547,0.0616963671270533,-14.3168599136779
"446",28,"Hippo_R","D2",547,0.0736542167756656,-62.7691205365417
"449",28,"mPFC","D2",547,0.101739578400332,-151.119193028702
"451",29,"Amy_L","D2",547,0.112136143877611,-177.730006747656
"452",29,"Amy_R","D2",547,0.115946014022861,-186.867910597546
"453",29,"EC_L","D2",547,1.05716869487024,-791.364416511172
"454",29,"EC_R","D2",547,0.347495467821886,-487.068877664491
"455",29,"Hippo_L","D2",547,0.0602618467910511,-7.88253466779176
"456",29,"Hippo_R","D2",547,0.052976919836354,27.3559810766295
"459",29,"mPFC","D2",547,0.223498357588635,-366.360320756422
"461",30,"Amy_L","D2",547,0.149589314140129,-256.547217608432
"462",30,"Amy_R","D2",547,0.194224749761516,-327.96418279391
"463",30,"EC_L","D2",547,0.715555732476513,-684.620079106106
"464",30,"EC_R","D2",547,0.26650964146924,-414.49805902466
